Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1994,1994,1,6,0,0,0,-4,21,0,0,0,0,0,0,0,2,0,,
2,Greg Adams,1984,1988,5,330,55,98,153,37,694,47,8,0,3,77,21,0,450,12.2,,
3,Jason Allison,1994,1997,4,86,7,22,29,-8,33,4,3,0,1,15,7,0,103,6.8,,
4,Karl Alzner,2009,2017,9,591,19,98,117,61,177,19,0,0,2,94,2,2,529,3.6,11939,20:12
5,Murray Anderson,1975,1975,1,40,0,1,1,-40,68,0,0,0,0,1,0,0,23,0,,
6,Ron Anderson,1975,1975,1,28,9,7,16,-20,8,5,4,0,0,7,0,0,43,20.9,,
7,Shawn Anderson,1993,1994,2,110,2,15,17,-3,30,1,1,0,0,12,3,0,73,2.7,,
8,Peter Andersson,1984,1986,3,160,9,33,42,9,77,4,5,0,3,19,14,0,194,4.6,,
9,Mel Angelstad,2004,2004,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,26,13:00
10,Chuck Arnason,1979,1979,1,13,0,2,2,-1,4,0,0,0,0,1,1,0,17,0,,
11,Jason Arnott,2011,2011,1,11,4,3,7,3,8,2,2,0,1,2,1,0,30,13.3,175,15:53
12,Steve Atkinson,1975,1975,1,46,11,4,15,-25,8,6,3,2,0,2,2,0,92,12,,
13,Keith Aucoin,2009,2012,4,49,6,16,22,7,4,5,1,0,1,14,2,0,40,15,513,10:29
14,Patrik Augusta,1999,1999,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27,13:38
15,Bobby Babcock,1991,1993,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,
16,Nicklas Backstrom,2008,2021,14,971,251,696,947,118,466,172,77,2,38,392,304,0,2066,12.1,19098,19:40
17,Ace Bailey,1975,1978,4,207,43,71,114,-104,162,38,5,0,6,47,21,3,388,11.1,,
18,Riley Barber,2017,2017,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,8:35
19,John Barrett,1986,1987,2,69,2,5,7,-14,55,2,0,0,0,5,0,0,44,4.5,,
20,Bates Battaglia,2004,2004,1,66,4,6,10,-23,38,4,0,0,1,5,1,0,69,5.8,899,13:37
21,Nolan Baumgartner,1996,2000,4,18,0,2,2,-3,2,0,0,0,0,0,2,0,11,0,128,9:49
22,Robin Bawa,1990,1990,1,5,1,0,1,-3,6,1,0,0,0,0,0,0,1,100,,
23,Jay Beagle,2009,2018,10,471,51,65,116,11,159,49,0,2,12,62,0,3,530,9.6,5858,12:26
24,Yves Beaudoin,1986,1988,3,11,0,0,0,-9,5,0,0,0,0,0,0,0,11,0,,
25,Kris Beech,2001,2007,3,73,8,18,26,-13,52,5,3,0,0,10,8,0,83,9.6,875,11:59
26,Eric Belanger,2010,2010,1,17,2,4,6,3,4,2,0,0,0,4,0,0,31,6.5,249,14:40
27,Brian Bellows,1998,1999,2,87,23,22,45,-15,32,10,13,0,5,19,3,0,192,12,1158,15:14
28,Jan Benda,1998,1998,1,9,0,3,3,1,6,0,0,0,0,3,0,0,8,0,,
29,Harvey Bennett,1976,1977,2,67,14,16,30,-34,73,13,1,0,1,16,0,0,94,14.9,,
30,Sergei Berezin,2003,2003,1,9,5,4,9,10,4,5,0,0,2,4,0,0,28,17.9,141,15:41
31,Michel Bergeron,1979,1979,1,30,7,6,13,-18,7,6,1,0,1,6,0,0,53,13.2,,
32,Tim Bergland,1990,1994,4,104,8,18,26,-3,58,8,0,0,0,17,0,1,83,9.6,,
33,Rick Berry,2003,2004,2,108,2,7,9,-8,195,2,0,0,1,7,0,0,83,2.4,1349,12:29
34,Craig Berube,1994,2001,7,419,26,38,64,-32,1220,25,1,0,2,37,1,0,274,9.5,570,6:29
35,Todd Bidner,1982,1982,1,12,2,1,3,1,7,2,0,0,1,1,0,0,5,40,,
36,Mathieu Biron,2006,2006,1,52,4,9,13,-11,50,1,3,0,0,3,6,0,61,6.6,636,12:14
37,James Black,1999,2001,3,166,25,28,53,1,24,22,2,1,4,22,4,2,240,10.4,2102,12:40
38,Timo Blomqvist,1982,1985,4,223,4,51,55,27,264,3,1,0,1,39,12,0,252,1.6,,
39,Mike Bloom,1975,1975,1,67,7,19,26,-54,84,7,0,0,0,15,4,0,88,8,,
40,John Blum,1987,1987,1,66,2,8,10,1,133,2,0,0,0,8,0,0,33,6.1,,
41,Patrick Boileau,1997,2002,3,7,0,1,1,-5,4,0,0,0,0,0,1,0,7,0,87,14:35
42,Larry Bolonchuk,1976,1978,3,59,3,9,12,-32,91,3,0,0,0,9,0,0,48,6.3,,
43,Peter Bondra,1991,2004,14,961,472,353,825,74,679,303,137,32,73,229,120,4,3290,14.3,8348,20:01
44,Pierre Bouchard,1979,1982,4,106,8,16,24,-28,54,8,0,0,0,16,0,0,96,8.3,,
45,Josef Boumedienne,2003,2004,2,43,3,12,15,-11,30,1,2,0,1,3,9,0,51,5.9,970,22:33
46,Chris Bourque,2008,2010,3,13,1,0,1,-2,2,1,0,0,0,0,0,0,16,6.3,123,9:26
47,Madison Bowey,2018,2019,2,84,1,17,18,0,62,1,0,0,1,17,0,0,81,1.2,1153,13:44
48,Travis Boyd,2018,2020,3,85,8,23,31,17,10,8,0,0,1,20,3,0,63,12.7,874,10:17
49,Matt Bradley,2006,2011,6,427,37,59,96,-10,367,34,1,2,9,57,0,2,529,7,4729,11:05
50,Rick Bragnalo,1976,1979,4,145,15,35,50,-26,46,12,1,2,1,27,8,0,179,8.4,,
51,Donald Brashear,2007,2009,3,220,10,15,25,-12,396,10,0,0,1,14,1,0,149,6.7,1762,8:01
52,Gord Brooks,1975,1975,1,38,1,10,11,-19,25,0,1,0,0,7,3,0,80,1.3,,
53,Willie Brossart,1975,1976,2,61,1,8,9,-62,54,1,0,0,0,8,0,0,48,2.1,,
54,Julien Brouillette,2014,2014,1,10,1,1,2,3,0,1,0,0,1,1,0,0,4,25,156,15:33
55,Troy Brouwer,2012,2015,4,293,83,69,152,-15,234,50,30,3,16,42,26,1,550,15.1,5262,17:58
56,Chris Brown,2014,2016,3,12,2,1,3,1,2,2,0,0,0,1,0,0,9,22.2,98,8:11
57,Jeff Brown,1998,1998,1,9,0,6,6,4,6,0,0,0,0,2,4,0,15,0,,
58,Andrew Brunette,1996,1998,3,62,18,22,40,4,24,12,6,0,3,15,7,0,81,22.2,,
59,Jan Bulis,1998,2001,4,181,26,62,88,5,80,22,4,0,4,48,14,0,227,11.5,1792,13:29
60,Ted Bulley,1983,1983,1,39,4,9,13,-2,47,4,0,0,1,9,0,0,35,11.4,,
61,Andre Burakovsky,2015,2019,5,328,62,83,145,34,77,55,7,0,13,73,10,0,486,12.8,4183,12:45
62,Randy Burridge,1992,1995,4,150,48,61,109,-4,125,30,17,1,8,31,28,2,290,16.6,,
63,Nelson Burton,1978,1979,2,8,1,0,1,-5,21,1,0,0,0,0,0,0,3,33.3,,
64,Eric Calder,1982,1983,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
65,Tony Camazzola,1982,1982,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,,,
66,Paul Carey,2016,2017,2,10,1,0,1,-2,0,1,0,0,0,0,0,0,13,7.7,103,10:17
67,John Carlson,2010,2021,12,772,109,381,490,84,260,78,30,1,25,225,152,4,1770,6.2,18062,23:24
68,Kent Carlson,1989,1989,1,2,1,0,1,2,0,1,0,0,0,0,0,0,1,100,,
69,Bob Carpenter,1982,1993,7,490,188,207,395,-40,462,133,54,1,22,144,62,1,1340,14,,
70,Daniel Carr,2021,2021,1,3,0,1,1,-2,0,0,0,0,0,1,0,0,3,0,31,10:15
71,Connor Carrick,2014,2016,2,37,1,5,6,-11,23,1,0,0,0,5,0,0,28,3.6,573,15:30
72,Greg Carroll,1979,1979,1,24,5,6,11,-2,12,5,0,0,0,6,0,0,29,17.2,,
73,Anson Carter,1997,2004,2,38,8,7,15,2,13,5,3,0,3,5,2,0,61,13.1,372,19:33
74,Andrew Cassels,2006,2006,1,31,4,8,12,-3,14,2,2,0,0,4,4,0,29,13.8,410,13:13
75,Tony Cassolato,1980,1982,3,23,1,6,7,3,4,1,0,0,0,5,1,0,22,4.5,,
76,Paul Cavallini,1987,1993,3,101,7,13,20,-1,120,7,0,0,1,13,0,0,101,6.9,,
77,Shawn Chambers,1992,1992,1,2,0,0,0,-3,2,0,0,0,0,0,0,0,1,0,,
78,Zdeno Chara,2021,2021,1,15,2,3,5,6,10,2,0,0,0,3,0,0,24,8.3,297,19:49
79,Eric Charron,1996,1997,2,29,1,2,3,4,24,1,0,0,0,2,0,0,13,7.7,,
80,Guy Charron,1977,1981,5,320,118,156,274,-75,54,90,26,2,12,103,51,2,888,13.3,,
81,Denis Chasse,1996,1996,1,3,0,0,0,-1,5,0,0,0,0,0,0,0,3,0,,
82,Alex Chiasson,2018,2018,1,61,9,9,18,1,26,7,1,1,2,7,0,2,59,15.3,718,11:46
83,Jason Chimera,2010,2016,7,490,82,115,197,-2,350,70,8,4,11,104,10,1,955,8.6,6757,13:47
84,Taylor Chorney,2016,2018,3,97,3,12,15,24,40,3,0,0,1,11,0,1,61,4.9,1294,13:20
85,Tom Chorske,1999,1999,1,17,0,2,2,-4,4,0,0,0,0,2,0,0,22,0,194,11:26
86,Dave Christian,1984,1990,7,504,193,224,417,21,107,123,67,3,21,144,74,6,1102,17.5,,
87,Brad Church,1998,1998,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,
88,Dino Ciccarelli*,1989,1992,4,223,112,97,209,-22,278,84,28,0,18,71,26,0,771,14.5,,
89,Enrico Ciccone,1994,1999,2,89,3,1,4,-8,277,3,0,0,0,1,0,0,66,4.5,494,11:29
90,Ivan Ciernik,2002,2004,3,60,9,12,21,7,26,9,0,0,2,12,0,0,74,12.2,677,11:17
91,Chris Clark,2006,2010,5,240,60,63,123,-8,278,42,11,7,4,47,15,1,432,13.9,3682,15:21
92,Bill Clement,1976,1976,1,46,10,17,27,-30,20,8,2,0,0,12,5,0,95,10.5,,
93,Steve Clippingdale,1980,1980,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
94,Ben Clymer,2006,2007,2,143,23,30,53,-24,116,20,3,0,3,17,13,0,227,10.1,2011,14:04
95,Bill Collins,1977,1978,2,128,21,23,44,-39,44,18,0,3,2,22,0,1,191,11,,
96,Sean Collins,2009,2012,3,21,2,1,3,2,12,2,0,0,1,1,0,0,21,9.5,299,14:14
97,Sean Collins,2016,2016,1,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,8:32
98,Chris Conner,2015,2015,1,2,0,0,0,1,4,0,0,0,0,0,0,0,3,0,18,8:49
99,Brett Connolly,2017,2019,3,217,52,44,96,27,94,46,6,0,10,42,2,0,287,18.1,2625,12:06
100,Matt Cooke,2008,2008,1,17,3,4,7,5,27,2,0,1,0,3,1,0,18,16.7,209,12:19
101,Chris Corrinet,2002,2002,1,8,0,1,1,-4,6,0,0,0,0,1,0,0,8,0,81,10:04
102,Yvon Corriveau,1986,1990,5,146,23,18,41,11,220,22,1,0,2,18,0,0,177,13,,
103,Joe Corvo,2010,2010,1,18,2,4,6,-4,2,1,1,0,0,2,2,0,23,8.7,354,19:41
104,Alain Cote,1990,1990,1,2,0,0,0,-2,7,0,0,0,0,0,0,0,2,0,,
105,Sylvain Cote,1992,2003,10,622,75,195,270,60,336,45,25,5,14,119,68,8,1306,5.7,2595,18:40
106,Tim Coulis,1980,1980,1,19,1,2,3,-6,27,1,0,0,0,2,0,0,13,7.7,,
107,Geoff Courtnall,1989,1990,2,159,77,77,154,38,214,52,25,0,8,52,25,0,546,14.1,,
108,Bruce Cowick,1975,1975,1,65,5,6,11,-43,41,5,0,0,0,5,1,0,73,6.8,,
109,Joey Crabb,2013,2013,1,26,2,0,2,-1,8,2,0,0,0,0,0,0,20,10,245,9:25
110,Bob Crawford,1987,1987,1,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,,
111,Shawn Cronin,1989,1989,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
112,Brian Curran,1994,1994,1,26,1,0,1,-2,61,1,0,0,0,0,0,0,11,9.1,,
113,Glen Currie,1980,1985,6,307,38,77,115,19,91,32,2,4,4,70,4,3,274,13.9,,
114,Jakub Cutta,2001,2004,3,8,0,0,0,-5,0,0,0,0,0,0,0,0,4,0,108,13:33
115,Ulf Dahlen,2000,2002,3,217,53,85,138,17,22,35,18,0,10,66,19,0,392,13.5,3144,14:29
116,Nicolas Deschamps,2014,2014,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,20,6:49
117,Brenden Dillon,2020,2021,2,25,1,4,5,1,37,1,0,0,0,4,0,0,22,4.5,489,19:35
118,Christian Djoos,2018,2020,3,110,4,20,24,23,14,4,0,0,0,20,0,0,94,4.3,1513,13:45
119,Jason Doig,2003,2004,2,120,5,14,19,-15,213,5,0,0,1,14,0,0,100,5,2025,16:52
120,Doug Doull,2006,2006,1,2,0,0,0,-1,19,0,0,0,0,0,0,0,0,,8,3:57
121,Nic Dowd,2019,2021,3,135,17,24,41,22,64,14,0,3,4,23,0,1,113,15,1485,11:00
122,John Druce,1989,1992,4,240,57,64,121,22,199,47,9,1,9,51,12,1,463,12.3,,
123,Gaetan Duchesne,1982,1987,6,451,87,138,225,69,251,78,3,6,15,132,0,6,631,13.8,,
124,Denis Dupéré,1975,1975,1,53,20,15,35,-43,8,12,8,0,0,9,6,0,133,15,,
125,Mike Eagles,1995,2000,6,266,13,22,35,-17,206,13,0,0,1,17,1,4,202,6.4,688,8:56
126,Cody Eakin,2012,2012,1,30,4,4,8,2,4,4,0,0,0,4,0,0,31,12.9,278,9:17
127,Rolf Edberg,1979,1981,3,184,45,58,103,10,24,39,5,1,9,50,8,0,317,14.2,,
128,Jack Egers,1975,1976,2,26,6,5,11,-17,16,3,3,0,1,1,4,0,39,15.4,,
129,Lars Eller,2017,2021,5,323,61,83,144,8,163,53,5,3,6,67,13,3,612,10,5061,15:40
130,Miika Elomo,2000,2000,1,2,0,1,1,1,2,0,0,0,0,1,0,0,3,0,22,11:12
131,Pat Elynuik,1993,1994,2,84,23,36,59,0,66,14,9,0,1,25,10,1,129,17.8,,
132,Steve Eminger,2003,2008,5,212,6,37,43,-44,221,5,1,0,0,31,2,4,109,5.5,3810,17:58
133,Brian Engblom,1983,1984,2,79,5,23,28,-10,67,1,4,0,0,17,6,0,118,4.2,,
134,Martin Erat,2013,2014,2,62,2,25,27,1,26,2,0,0,1,21,4,0,55,3.6,906,14:37
135,Bryan Erickson,1984,1985,2,102,27,30,57,21,39,22,5,0,3,26,4,0,145,18.6,,
136,John Erskine,2007,2014,8,350,12,37,49,14,529,12,0,0,2,32,1,4,310,3.9,5549,15:51
137,Daryl Evans,1986,1986,1,6,0,1,1,-1,0,0,0,0,0,0,1,0,14,0,,
138,Dean Evason,1984,1985,2,17,3,4,7,9,4,3,0,0,1,4,0,0,18,16.7,,
139,Brian Fahey,2011,2011,1,7,0,1,1,-1,2,0,0,0,0,1,0,0,4,0,83,11:49
140,Mike Farrell,2002,2003,2,12,0,0,0,0,2,0,0,0,0,0,0,0,3,0,56,4:40
141,Rico Fata,2006,2007,2,31,4,4,8,6,10,3,1,0,0,4,0,0,46,8.7,276,8:54
142,Sergei Fedorov*,2008,2009,2,70,13,33,46,2,58,10,3,0,3,14,17,2,152,8.6,1187,16:58
143,Martin Fehervary,2020,2020,1,6,0,1,1,-2,6,0,0,0,0,1,0,0,7,0,96,15:59
144,Eric Fehr,2006,2015,9,419,87,87,174,55,140,75,10,2,15,72,14,1,825,10.5,5371,12:49
145,Chris Felix,1989,1991,3,35,1,12,13,1,10,0,1,0,0,4,8,0,28,3.6,,
146,Mark Ferner,1990,1991,2,9,0,1,1,-3,4,0,0,0,0,1,0,0,5,0,,
147,Chris Ferraro,2002,2002,1,1,0,1,1,0,0,0,0,0,0,0,1,0,4,0,15,15:17
148,Peter Ferraro,2002,2002,1,4,0,1,1,-1,0,0,0,0,0,0,1,0,3,0,52,12:54
149,Tomas Fleischmann,2006,2011,6,283,60,78,138,-11,84,44,16,0,11,51,27,0,466,12.9,3916,13:50
150,Colin Forbes,2002,2006,4,54,5,3,8,-6,17,4,0,1,1,3,0,0,64,7.8,559,10:21
151,Dave Forbes,1978,1979,2,79,11,12,23,-34,121,11,0,0,0,12,0,0,144,7.6,,
152,Alex Forsyth,1977,1977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
153,Jean-Francois Fortin,2002,2004,3,71,1,4,5,-4,42,1,0,0,0,4,0,0,44,2.3,1218,17:09
154,Lou Franceschetti,1982,1989,7,327,36,58,94,-18,562,35,1,0,6,56,2,0,288,12.5,,
155,Jeff Friesen,2006,2006,1,33,3,4,7,-11,24,3,0,0,0,2,2,0,64,4.7,487,14:45
156,Larry Fullan,1975,1975,1,4,1,0,1,-2,0,0,1,0,0,0,0,0,5,20,,
157,Owen Fussey,2004,2004,1,4,0,1,1,-1,0,0,0,0,0,1,0,0,6,0,33,8:16
158,Stanislav Galiev,2015,2016,2,26,1,3,4,3,4,1,0,0,0,3,0,0,32,3.1,238,9:08
159,Garry Galley,1987,1988,2,76,8,33,41,14,54,4,4,0,0,10,23,0,129,6.2,,
160,Paul Gardner,1985,1985,1,12,2,4,6,-2,6,0,2,0,0,2,2,0,17,11.8,,
161,Mike Gartner*,1980,1989,10,758,397,392,789,61,770,287,98,12,54,265,124,3,2841,14,,
162,Martin Gendron,1995,1996,2,28,4,2,6,-2,10,4,0,0,0,1,1,0,33,12.1,,
163,Shane Gersich,2018,2018,1,3,0,1,1,-1,0,0,0,0,0,1,0,0,4,0,27,9:01
164,Doug Gibson,1978,1978,1,11,2,1,3,-3,0,2,0,0,0,1,0,0,10,20,,
165,Stan Gilbertson,1975,1976,2,56,24,21,45,-63,18,17,7,0,1,12,9,0,127,18.9,,
166,Bob Girard,1978,1980,3,132,18,29,47,-20,42,17,1,0,2,28,0,1,103,17.5,,
167,Alexandre Giroux,2007,2010,3,30,4,5,9,3,16,4,0,0,1,4,1,0,48,8.3,312,10:24
