Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
333,Brendan Morrison,2010,2010,1,74,12,30,42,23,40,9,3,0,3,25,5,0,105,11.4,1164,15:44
334,Lew Morrison,1975,1975,1,18,0,4,4,-14,6,0,0,0,0,4,0,0,21,0,,
335,Shaone Morrisonn,2004,2010,6,377,9,53,62,26,405,9,0,0,3,48,0,5,232,3.9,7379,19:34
336,Joe Motzko,2008,2008,1,8,2,2,4,1,0,2,0,0,0,2,0,0,10,20,100,12:27
337,Bryan Muir,2006,2007,2,98,11,22,33,-6,114,7,4,0,1,7,15,0,164,6.7,1904,19:26
338,Ryan Mulhern,1998,1998,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
339,Paul Mulvey,1979,1981,3,187,29,37,66,-34,487,25,4,0,4,35,2,0,296,9.8,,
340,Joe Murphy,2000,2001,2,43,6,13,19,3,73,4,2,0,2,10,3,0,72,8.3,594,13:49
341,Larry Murphy*,1984,1989,6,453,86,259,345,56,332,54,31,1,9,134,120,5,1025,8.4,,
342,Rob Murray,1990,1991,2,58,2,10,12,-10,77,2,0,0,0,10,0,0,37,5.4,,
343,Terry Murray,1982,1982,1,74,3,22,25,-15,60,3,0,0,0,20,1,1,75,4,,
344,Brantt Myhres,2001,2001,1,5,0,0,0,0,29,0,0,0,0,0,0,0,0,,18,3:36
345,Jeff Nelson,1995,1996,2,43,1,7,8,1,18,1,0,0,0,7,0,0,25,4,,
346,Todd Nelson,1994,1994,1,2,1,0,1,1,2,0,1,0,1,0,0,0,1,100,,
347,Aaron Ness,2016,2018,3,18,0,3,3,5,10,0,0,0,0,3,0,0,10,0,227,12:35
348,Paul Nicholson,1975,1977,3,62,4,8,12,-39,18,4,0,0,1,8,0,0,72,5.6,,
349,Andrei Nikolishin,1997,2002,6,407,58,113,171,20,174,48,7,3,6,89,20,4,620,9.4,5128,16:32
350,Matt Niskanen,2015,2019,5,390,29,127,156,58,194,23,6,0,7,92,31,4,684,4.2,8877,22:46
351,Claude Noel,1980,1980,1,7,0,0,0,-3,0,0,0,0,0,0,0,0,5,0,,
352,Brad Norton,2004,2004,1,16,0,1,1,-4,17,0,0,0,0,1,0,0,6,0,205,12:50
353,Lee Norwood,1982,1983,2,34,7,11,18,4,139,4,3,0,1,2,9,0,39,17.9,,
354,Jiri Novotny,2007,2007,1,18,0,6,6,-2,2,0,0,0,0,6,0,0,19,0,263,14:36
355,Milan Novy,1983,1983,1,73,18,30,48,4,16,15,3,0,3,22,8,0,132,13.6,,
356,Lawrence Nycholat,2007,2007,1,18,2,6,8,-3,12,2,0,0,0,4,2,0,22,9.1,370,20:32
357,Michael Nylander,2003,2009,4,186,37,91,128,-15,100,21,16,0,5,60,31,0,306,12.1,3149,16:56
358,Liam O'Brien,2015,2018,3,17,1,1,2,4,28,1,0,0,0,1,0,0,17,5.9,125,7:21
359,Adam Oates*,1997,2002,6,387,73,290,363,5,126,51,20,2,15,165,116,9,472,15.5,6204,21:33
360,Steven Oleksy,2013,2015,3,62,3,16,19,15,86,3,0,0,1,16,0,0,53,5.7,999,16:07
361,Dmitry Orlov,2012,2021,9,526,37,143,180,58,209,35,2,0,8,123,19,1,666,5.6,10443,19:51
362,Brooks Orpik,2015,2019,5,332,5,57,62,47,238,5,0,0,1,57,0,0,287,1.7,6316,19:01
363,Oskar Osala,2009,2009,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,17,8:44
364,T.J. Oshie,2016,2021,6,374,130,136,266,49,175,83,45,2,20,101,33,2,754,17.2,6901,18:27
365,Alex Ovechkin,2006,2021,16,1163,711,581,1292,78,721,446,261,4,111,354,226,1,5588,12.7,24358,20:57
366,John Paddock,1976,1976,1,8,1,1,2,-5,12,1,0,0,0,1,0,0,5,20,,
367,Richard Panik,2020,2021,2,74,10,17,27,11,44,9,1,0,1,17,0,0,92,10.9,860,11:37
368,Bob Paradise,1976,1977,2,70,0,13,13,-44,62,0,0,0,0,13,0,0,41,0,,
369,Doug Patey,1977,1979,3,45,4,2,6,-16,8,4,0,0,0,2,0,0,50,8,,
370,Craig Patrick*,1977,1979,3,75,9,18,27,-19,6,7,2,0,0,13,5,0,91,9.9,,
371,Kent Paynter,1990,1991,2,14,1,2,3,-7,33,1,0,0,0,2,0,0,15,6.7,,
372,Pat Peake,1994,1998,5,134,28,41,69,3,105,17,11,0,4,27,14,0,259,10.8,,
373,Rob Pearson,1995,1995,1,32,0,6,6,-6,96,0,0,0,0,5,1,0,34,0,,
374,Stephen Peat,2002,2006,4,130,8,2,10,-16,234,8,0,0,0,2,0,0,41,19.5,733,5:38
375,Andre Peloffy,1975,1975,1,9,0,0,0,-8,0,0,0,0,0,0,0,0,7,0,,
376,Anthony Peluso,2018,2018,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,9,4:39
377,Dustin Penner,2014,2014,1,18,1,2,3,3,2,1,0,0,0,1,1,0,19,5.3,221,12:18
378,Mathieu Perreault,2010,2013,4,159,33,37,70,17,70,27,6,0,6,34,3,0,175,18.9,1879,11:49
379,Jorgen Pettersson,1986,1986,1,47,8,16,24,-4,10,6,2,0,3,12,4,0,74,10.8,,
380,Matt Pettinger,2001,2008,7,334,52,47,99,-44,169,33,11,8,7,32,12,3,514,10.1,4483,13:25
381,Robert Picard,1978,1980,3,230,42,114,156,-41,308,27,15,0,7,62,51,1,625,6.7,,
382,Brian Pinho,2021,2021,1,2,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,16,7:49
383,Michal Pivonka,1987,1999,13,825,181,418,599,18,476,113,56,12,27,270,138,10,1468,12.3,475,13:12
384,Steve Poapst,1996,1999,2,25,1,0,1,-9,8,1,0,0,1,0,0,0,13,7.7,274,12:26
385,Harvie Pocza,1980,1982,2,3,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,,
386,Andrej Podkonicky,2004,2004,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,7,3:34
387,Greg Polis,1979,1980,2,47,13,11,24,-3,25,7,6,0,1,11,0,0,76,17.1,,
388,Brian Pothier,2007,2010,4,160,13,43,56,6,78,9,4,0,3,25,18,0,248,5.2,3327,20:48
389,Tom Poti,2008,2013,5,230,11,64,75,32,126,9,2,0,1,47,16,1,244,4.5,4894,21:17
390,Dave Poulin,1994,1995,2,92,10,24,34,1,62,7,0,3,0,23,0,1,94,10.6,,
391,Jean Pronovost,1981,1982,2,90,23,38,61,-17,65,16,6,1,4,19,16,3,203,11.3,,
392,John Purves,1991,1991,1,7,1,0,1,-3,0,1,0,0,1,0,0,0,8,12.5,,
393,Nelson Pyatt,1975,1976,2,93,32,27,59,-70,35,27,5,0,1,17,10,0,184,17.4,,
394,Joel Quenneville,1991,1991,1,9,1,0,1,-8,0,1,0,0,0,0,0,0,3,33.3,,
395,Errol Rausse,1980,1982,3,31,7,3,10,3,0,7,0,0,0,3,0,0,27,25.9,,
396,Joel Rechlicz,2012,2012,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,,6,1:59
397,Joe Reekie,1994,2002,9,515,11,64,75,86,688,11,0,0,2,59,1,4,436,2.5,4598,18:51
398,Pat Ribble,1980,1982,3,98,5,22,27,-17,147,2,3,0,1,18,4,0,148,3.4,,
399,Mike Ribeiro,2013,2013,1,48,13,36,49,-4,53,7,6,0,1,15,21,0,63,20.6,856,17:50
400,Mike Richard,1988,1990,2,7,0,2,2,-1,2,0,0,0,0,2,0,0,10,0,,
401,Mike Richards,2016,2016,1,39,2,3,5,-2,8,2,0,0,1,3,0,0,46,4.3,475,12:11
402,Mike Ridley,1987,1994,8,588,218,329,547,49,250,132,69,17,32,223,96,10,1083,20.1,,
403,Bill Riley,1975,1979,4,125,28,28,56,-18,313,18,10,0,2,21,7,0,136,20.6,,
404,Gary Rissling,1979,1980,2,37,3,4,7,-11,176,2,1,0,1,4,0,0,23,13,,
405,Torrie Robertson,1981,1983,3,62,10,13,23,-5,208,7,3,0,1,11,2,0,54,18.5,,
406,Louis Robitaille,2006,2006,1,2,0,0,0,-1,5,0,0,0,0,0,0,0,0,,9,4:42
407,Todd Rohloff,2002,2004,2,51,0,4,4,-7,32,0,0,0,0,4,0,0,25,0,721,14:08
408,Bob Rouse,1989,1991,3,130,9,33,42,-7,224,8,1,0,2,25,8,0,141,6.4,,
409,Tom Rowe,1977,1982,5,191,56,58,114,-40,315,47,9,0,6,45,13,0,458,12.2,,
410,Ken Sabourin,1991,1992,2,47,1,4,5,1,129,1,0,0,0,4,0,0,26,3.8,,
411,Joe Sacco,2000,2002,3,213,14,30,44,-2,149,14,0,0,1,28,0,2,255,5.5,2202,10:20
412,Andreas Salomonsson,2003,2003,1,32,1,4,5,-1,14,1,0,0,0,4,0,0,20,5,282,8:50
413,Gary Sampson,1984,1987,4,105,13,22,35,9,25,12,0,1,1,21,1,0,99,13.1,,
414,Zach Sanford,2017,2017,1,26,2,1,3,0,6,2,0,0,1,1,0,0,23,8.7,264,10:09
415,Reggie Savage,1991,1993,2,17,2,3,5,-5,12,0,2,0,0,2,1,0,22,9.1,,
416,Peter Scamurra,1976,1980,4,132,8,25,33,-57,59,5,2,1,0,24,1,0,110,7.3,,
417,Cameron Schilling,2013,2015,3,6,0,0,0,-2,4,0,0,0,0,0,0,0,4,0,75,12:32
418,Brad Schlegel,1992,1993,2,22,0,2,2,-3,6,0,0,0,0,2,0,0,15,0,,
419,Nate Schmidt,2014,2017,4,200,8,35,43,36,48,8,0,0,1,34,0,1,221,3.6,3313,16:34
420,Dwight Schofield,1986,1986,1,50,1,2,3,6,127,1,0,0,0,2,0,0,13,7.7,,
421,Jeff Schultz,2007,2013,7,399,11,64,75,78,133,10,0,1,1,62,0,2,209,5.3,7330,18:22
422,Justin Schultz,2021,2021,1,11,2,6,8,9,0,2,0,0,1,2,4,0,20,10,204,18:34
423,Steve Seftel,1991,1991,1,4,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,,
424,Rod Seiling,1975,1975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
425,Steve Self,1977,1977,1,3,0,0,0,-3,0,0,0,0,0,0,0,0,3,0,,
426,Alexander Semin,2004,2012,7,469,197,211,408,65,450,139,55,3,28,108,101,2,1400,14.1,8195,17:28
427,Michael Sgarbossa,2020,2021,2,7,0,2,2,2,0,0,0,0,0,2,0,0,5,0,65,9:19
428,Dave Shand,1984,1985,2,85,5,16,21,24,158,5,0,0,0,13,1,2,66,7.6,,
429,Kevin Shattenkirk,2017,2017,1,19,2,12,14,4,10,1,1,0,2,6,6,0,46,4.3,384,20:12
430,Brad Shaw,1999,1999,1,4,0,0,0,0,4,0,0,0,0,0,0,0,5,0,71,17:52
431,Conor Sheary,2021,2021,1,12,4,1,5,1,6,4,0,0,0,1,0,0,13,30.8,133,11:04
432,Neil Sheehy,1989,1990,2,131,4,9,13,7,475,4,0,0,0,9,0,0,54,7.4,,
433,Jonas Siegenthaler,2019,2021,3,96,2,11,13,14,55,2,0,0,1,11,0,0,64,3.1,1468,15:17
434,Zach Sill,2016,2016,1,10,1,0,1,0,2,1,0,0,0,0,0,0,13,7.7,99,9:56
435,Mike Siltala,1982,1982,1,3,1,0,1,-1,2,1,0,0,0,0,0,0,2,50,,
436,Chris Simon,1997,2003,7,320,72,79,151,-18,666,53,19,0,10,64,15,0,650,11.1,3407,13:38
437,Bob Sirois,1976,1980,5,282,91,120,211,-54,38,67,23,1,7,92,28,0,716,12.7,,
438,John Slaney,1994,1995,2,63,7,12,19,0,33,4,3,0,1,5,7,0,91,7.7,,
439,Tyler Sloan,2009,2011,3,99,4,13,17,-3,50,4,0,0,0,13,0,0,54,7.4,1415,14:18
440,Dennis Smith,1990,1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
441,Gord Smith,1975,1979,5,286,9,30,39,-136,276,5,4,0,1,25,3,2,208,4.3,,
442,Greg Smith,1986,1988,3,113,1,18,19,2,108,1,0,0,0,15,2,1,67,1.5,,
443,Rick Smith,1981,1981,1,40,5,4,9,7,36,3,2,0,2,2,2,0,35,14.3,,
444,Devante Smith-Pelly,2018,2019,2,129,11,13,24,-12,53,11,0,0,1,13,0,0,163,6.7,1512,11:43
445,Daniel Sprong,2021,2021,1,10,2,1,3,-1,0,2,0,0,0,1,0,0,13,15.4,90,9:00
446,Ryan Stanton,2016,2016,1,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,9,8:41
447,Brian Stapleton,1976,1976,1,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,,
448,David Steckel,2006,2011,6,291,23,35,58,3,113,19,1,3,4,33,0,2,330,7,3714,12:46
449,Chandler Stephenson,2016,2020,5,168,14,19,33,2,16,13,0,1,2,18,0,1,95,14.7,1961,11:40
450,Scott Stevens*,1983,1990,8,601,98,331,429,90,1628,51,46,1,14,193,136,2,1299,7.5,,
451,Blair Stewart,1975,1979,5,163,26,29,55,-62,257,26,0,0,0,27,2,0,193,13.5,,
452,Ryan Stoa,2014,2014,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,27,9:05
453,Roland Stoltz,1982,1982,1,14,2,2,4,-3,14,2,0,0,0,1,1,0,6,33.3,,
454,Tyson Strachan,2014,2014,1,18,0,2,2,-2,28,0,0,0,0,2,0,0,7,0,312,17:20
455,Garret Stroshein,2004,2004,1,3,0,0,0,-1,14,0,0,0,0,0,0,0,2,0,22,7:16
456,Marco Sturm,2011,2011,1,18,1,6,7,0,6,1,0,0,1,4,2,0,30,3.3,252,14:01
457,Peter Sundstrom,1988,1989,2,111,12,19,31,-7,48,11,0,1,1,19,0,0,128,9.4,,
458,Brian Sutherby,2002,2008,6,259,26,35,61,-29,281,23,1,2,0,35,0,0,240,10.8,3082,11:54
459,Jaroslav Svejkovsky,1997,2000,4,84,18,14,32,-15,28,9,9,0,4,7,7,0,127,14.2,547,11:24
460,Leif Svensson,1979,1980,2,121,6,40,46,-12,49,6,0,0,0,28,11,1,113,5.3,,
461,Petr Sykora,2006,2006,1,10,2,2,4,0,6,2,0,0,0,2,0,0,9,22.2,107,10:41
462,Mikhail Tatarinov,1991,1991,1,65,8,15,23,-4,82,4,3,1,1,7,8,0,145,5.5,,
463,Mark Taylor,1985,1986,2,39,3,2,5,-6,6,3,0,0,0,2,0,0,33,9.1,,
464,Joey Tenute,2006,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7:21
465,Alexei Tezikov,1999,2000,2,28,1,1,2,-3,2,0,1,0,1,0,1,0,22,4.5,332,11:52
466,Greg Theberge,1980,1984,5,153,15,63,78,-19,73,4,11,0,1,24,39,0,327,4.6,,
467,Jim Thomson,1987,1989,2,24,2,0,2,-4,88,2,0,0,0,0,0,0,14,14.3,,
468,Esa Tikkanen,1998,1998,1,20,2,10,12,-4,2,1,1,0,2,6,4,0,33,6.1,,
469,Mark Tinordi,1995,1999,5,264,16,40,56,27,449,11,4,1,1,31,4,5,295,5.4,980,20:25
470,Dave Tippett,1991,1992,2,91,8,19,27,-11,40,8,0,0,2,15,1,3,94,8.5,,
471,Rick Tocchet,1997,1997,1,13,5,5,10,0,31,4,1,0,1,5,0,0,37,13.5,,
472,Jeff Toms,1998,2000,3,74,5,11,16,-12,14,5,0,0,2,9,0,2,103,4.9,454,11:04
473,Tim Tookey,1981,1982,2,57,18,21,39,-15,53,8,10,0,1,10,11,0,85,21.2,,
474,Brent Tremblay,1979,1980,2,10,1,0,1,1,6,1,0,0,0,0,0,0,7,14.3,,
475,John Tucker,1990,1990,1,38,9,19,28,11,10,8,1,0,1,13,6,0,61,14.8,,
476,Alfie Turcotte,1990,1991,2,10,1,3,4,-1,0,1,0,0,1,2,1,0,12,8.3,,
477,Brian Tutt,1990,1990,1,7,1,0,1,-4,2,1,0,0,0,0,0,0,5,20,,
478,Roman Tvrdon,2004,2004,1,9,0,1,1,-3,2,0,0,0,0,1,0,0,7,0,96,10:41
479,Igor Ulanov,1995,1995,1,3,0,1,1,3,2,0,0,0,0,1,0,0,0,,,
480,Alexander Urbom,2014,2014,1,20,1,1,2,1,19,1,0,0,0,0,0,1,16,6.3,292,14:36
481,Stefan Ustorf,1996,1997,2,54,7,10,17,5,16,7,0,0,1,8,0,2,46,15.2,,
482,Chris Valentine,1982,1984,3,105,43,52,95,-27,127,22,21,0,7,26,26,0,210,20.5,,
483,Trevor van Riemsdyk,2021,2021,1,7,1,0,1,-3,0,1,0,0,0,0,0,0,7,14.3,128,18:19
484,Darren Veitch,1981,1986,6,319,25,118,143,25,181,13,12,0,2,52,66,0,646,3.9,,
485,Darcy Verot,2004,2004,1,37,0,2,2,-6,135,0,0,0,0,1,0,1,11,0,326,8:48
486,Dennis Ververgaert,1981,1981,1,79,14,27,41,-4,40,12,2,0,2,22,4,1,111,12.6,,
487,Alexandre Volchkov,2000,2000,1,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,30,10:07
488,Aaron Volpatti,2013,2015,3,60,2,1,3,-5,56,2,0,0,0,1,0,0,29,6.9,479,7:59
489,Jakub Vrana,2017,2021,5,259,70,72,142,31,63,64,6,0,16,53,19,0,543,12.9,3543,13:41
490,Howard Walker,1981,1982,2,80,2,13,15,-1,126,0,2,0,0,12,1,0,86,2.3,,
491,Nathan Walker,2018,2019,2,10,1,1,2,2,6,1,0,0,0,1,0,0,6,16.7,89,8:53
492,Scott Walker,2010,2010,1,9,2,1,3,1,9,2,0,0,1,1,0,0,13,15.4,83,9:11
493,Ryan Walter,1979,1982,4,307,114,163,277,-16,468,71,41,2,6,120,41,2,674,16.9,,
494,Joel Ward,2012,2015,4,276,57,64,121,22,94,41,13,3,9,53,11,0,402,14.2,4198,15:13
495,Bryan Watson,1977,1979,3,155,4,26,30,-25,294,3,0,1,0,26,0,0,125,3.2,,
496,Mike Weber,2016,2016,1,10,0,0,0,-1,28,0,0,0,0,0,0,0,12,0,140,13:59
497,Casey Wellman,2014,2014,1,13,2,1,3,3,0,2,0,0,0,1,0,0,15,13.3,122,9:22
498,Patrick Wey,2014,2014,1,9,0,3,3,0,5,0,0,0,0,3,0,0,5,0,131,14:35
499,Tony White,1975,1978,4,158,37,28,65,-60,100,27,9,1,5,23,4,1,301,12.3,,
